doc_id,domain,title,issuer,doc_type,priority,update_cadence,download_mode,direct_pdf_url,official_url,version_or_effective,supersedes,tags
AML-PMLA-2002,aml_kyc,"Prevention of Money Laundering Act, 2002",Parliament of India,bare_act,P1,stable,manual,,https://www.indiacode.nic.in (search: Prevention of Money Laundering Act 2002),2002,,"pmla;str;aml"
PAY-PSSA-2007,payments_banking,"Payment and Settlement Systems Act, 2007",Parliament of India,bare_act,P1,stable,manual,,https://www.indiacode.nic.in (search: Payment and Settlement Systems Act 2007),2007,,"payments;upi;ppi;bbps;settlement"
INV-MF-REG-2026,investments_wealth,"SEBI (Mutual Funds) Regulations, 2026",Securities and Exchange Board of India,regulation,P1,on-change,manual,,https://www.sebi.gov.in/legal/regulations,2026-04-01,"SEBI (Mutual Funds) Regulations, 1996","mutual-funds;distribution;amc"
INV-SEBIACT-1992,investments_wealth,"Securities and Exchange Board of India Act, 1992",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: SEBI Act 1992),1992,,"sebi;securities"
LEND-CONTRACT-1872,lending_credit,"Indian Contract Act, 1872",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: Indian Contract Act 1872),1872,,"contract;e-signature;loan-agreement"
DP-ITACT-2000,data_privacy_cyber,"Information Technology Act, 2000",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: Information Technology Act 2000),2000,,"it-act;cybercrime;intermediary"
DP-IT-RULES,data_privacy_cyber,"IT (Reasonable Security Practices - SPDI) Rules 2011 & Intermediary Guidelines 2021",Ministry of Electronics and Information Technology,rules,P2,on-change,manual,,https://www.meity.gov.in/content/information-technology-act-2000,check-latest,,"spdi;intermediary;security-practices"
CP-CPA-2019,consumer_protection,"Consumer Protection Act, 2019",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: Consumer Protection Act 2019),2019,,"consumer;unfair-trade;e-commerce"
CP-RBIOMBUDSMAN-2021,consumer_protection,"Reserve Bank - Integrated Ombudsman Scheme, 2021",Reserve Bank of India,scheme,P2,on-change,manual,,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2021-11-12,"BO/OSNBFC/OSDT schemes","ombudsman;grievance;redressal"
INV-IA-REG-2013,investments_wealth,"SEBI (Investment Advisers) Regulations, 2013 (as amended)",Securities and Exchange Board of India,regulation,P2,on-change,manual,,https://www.sebi.gov.in/legal/regulations,check-latest,,"investment-advice;ria;suitability"
INS-CORP-AGENT,insurance,"IRDAI (Registration of Corporate Agents) Regulations",Insurance Regulatory and Development Authority of India,regulation,P2,on-change,manual,,https://irdai.gov.in/consolidated-gazette-notified-regulations,check-latest,,"corporate-agent;intermediary;fintech"
INS-POLICYHOLDER,insurance,"IRDAI (Protection of Policyholders Interests) Regulations",Insurance Regulatory and Development Authority of India,regulation,P2,on-change,manual,,https://irdai.gov.in/consolidated-gazette-notified-regulations,check-latest,,"policyholder;grievance;free-look"
AML-PMLA-RULES-2005,aml_kyc,"PMLA (Maintenance of Records) Rules, 2005",Department of Revenue / FIU-IND,rules,P2,on-change,manual,,https://www.indiacode.nic.in (search: PMLA Maintenance of Records Rules 2005),check-latest,,"record-keeping;beneficial-owner;fiu"
PAY-BR-1949,payments_banking,"Banking Regulation Act, 1949",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: Banking Regulation Act 1949),1949,,"banking;licensing"
PAY-RBIACT-1934,payments_banking,"Reserve Bank of India Act, 1934",Parliament of India,bare_act,P2,stable,manual,,https://www.indiacode.nic.in (search: Reserve Bank of India Act 1934),1934,,"rbi;monetary"
DP-CERTIN-2022,data_privacy_cyber,"CERT-In Directions on Cyber Security Incident Reporting (2022)",Indian Computer Emergency Response Team,directions,P3,on-change,manual,,https://www.cert-in.org.in,2022-04-28,,"incident-reporting;cyber;logs"
INV-DEPOSITORIES-1996,investments_wealth,"Depositories Act, 1996",Parliament of India,bare_act,P3,stable,manual,,https://www.indiacode.nic.in (search: Depositories Act 1996),1996,,"demat;securities"
INS-INSACT-1938,insurance,"Insurance Act, 1938",Parliament of India,bare_act,P3,stable,manual,,https://www.indiacode.nic.in (search: Insurance Act 1938),1938,,"insurance"
INS-IRDAIACT-1999,insurance,"Insurance Regulatory and Development Authority Act, 1999",Parliament of India,bare_act,P3,stable,manual,,https://www.indiacode.nic.in (search: IRDAI Act 1999),1999,,"irdai;insurance"
CP-RBI-CUSTOMER-RIGHTS,consumer_protection,"RBI Charter of Customer Rights",Reserve Bank of India,charter,P3,stable,manual,,https://www.rbi.org.in,check-latest,,"customer-rights;fair-treatment"
